BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,LN_CUST,LN_CNT,AVG_BAL_CNT,AVG_BAL_AMT,CARD_CUST,AVG_USE_AMT
202001,ADM_DONG,46,전라남도,46840,무안군,46840340,현경면,19,23,1.21,458,192,232
202001,ADM_DONG,46,전라남도,46840,무안군,46840350,망운면,9,10,1.11,762,101,0
202001,ADM_DONG,46,전라남도,46840,무안군,46840360,해제면,28,36,1.29,447,229,443
202001,ADM_DONG,46,전라남도,46840,무안군,46840370,운남면,8,8,1.00,202,114,130
202001,ADM_DONG,46,전라남도,46840,무안군,46840256,삼향읍,704,914,1.30,1423,5629,1103
202001,ADM_DONG,46,전라남도,46840,무안군,46840253,일로읍,31,35,1.13,869,373,165
202001,ADM_DONG,46,전라남도,46840,무안군,46840250,무안읍,75,89,1.19,991,1119,878
202001,ADM_DONG,46,전라남도,46840,무안군,46840320,몽탄면,11,12,1.09,413,175,245
202001,ADM_DONG,46,전라남도,46840,무안군,46840330,청계면,43,49,1.14,769,705,613
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114310,북이면,25,28,1.12,1051,241,649
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114510,우암동,194,237,1.22,925,2167,754
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114530,내덕2동,150,195,1.30,1322,1794,734
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114520,내덕1동,96,121,1.26,1162,1070,761
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114540,율량.사천동,839,1059,1.26,1375,7549,1180
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114550,오근장동,404,518,1.28,1532,2802,1092
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114253,오창읍,2140,2723,1.27,1876,12256,1534
202001,ADM_DONG,43,충청북도,43114,청주시청원구,43114250,내수읍,243,301,1.24,1147,2359,924
202001,ADM_DONG,46,전라남도,46820,해남군,46820330,현산면,5,5,1.00,533,103,0
202001,ADM_DONG,46,전라남도,46820,해남군,46820340,송지면,19,19,1.00,361,298,170
202001,ADM_DONG,46,전라남도,46820,해남군,46820350,북평면,8,9,1.13,495,92,1101
202001,ADM_DONG,46,전라남도,46820,해남군,46820360,북일면,0,,0,0,86,0
202001,ADM_DONG,46,전라남도,46820,해남군,46820370,옥천면,6,7,1.17,1677,132,1182
202001,ADM_DONG,46,전라남도,46820,해남군,46820250,해남읍,165,203,1.23,1102,2326,884
202001,ADM_DONG,46,전라남도,46820,해남군,46820380,계곡면,2,5,2.50,1628,56,259
202001,ADM_DONG,46,전라남도,46820,해남군,46820390,마산면,13,18,1.38,695,100,609
202001,ADM_DONG,46,전라남도,46820,해남군,46820400,황산면,11,12,1.09,185,194,114
202001,ADM_DONG,46,전라남도,46820,해남군,46820410,산이면,9,14,1.56,821,170,860
202001,ADM_DONG,46,전라남도,46820,해남군,46820420,문내면,8,8,1.00,120,187,0
202001,ADM_DONG,46,전라남도,46820,해남군,46820430,화원면,17,22,1.29,743,151,470
202001,ADM_DONG,46,전라남도,46820,해남군,46820310,삼산면,5,6,1.20,750,136,100
202001,ADM_DONG,46,전라남도,46820,해남군,46820320,화산면,17,19,1.12,518,121,352
202001,ADM_DONG,26,부산광역시,26320,북구,26320530,금곡동,658,810,1.23,1326,5190,1154
202001,ADM_DONG,26,부산광역시,26320,북구,26320542,화명제2동,251,324,1.29,1224,2290,1212
202001,ADM_DONG,26,부산광역시,26320,북구,26320541,화명제1동,1005,1331,1.32,2068,6867,1534
202001,ADM_DONG,26,부산광역시,26320,북구,26320543,화명제3동,609,821,1.35,2173,4713,1380
202001,ADM_DONG,26,부산광역시,26320,북구,26320572,만덕제2동,603,763,1.27,1471,4357,1277
202001,ADM_DONG,26,부산광역시,26320,북구,26320573,만덕제3동,395,495,1.25,1260,2937,1242
202001,ADM_DONG,26,부산광역시,26320,북구,26320571,만덕제1동,136,184,1.35,1078,1172,776
202001,ADM_DONG,26,부산광역시,26320,북구,26320561,덕천제3동,166,198,1.19,1226,1540,739
202001,ADM_DONG,26,부산광역시,26320,북구,26320550,덕천제1동,221,295,1.33,1181,1850,620
202001,ADM_DONG,26,부산광역시,26320,북구,26320560,덕천제2동,188,230,1.22,1063,1738,954
202001,ADM_DONG,26,부산광역시,26320,북구,26320521,구포제3동,279,350,1.25,843,3229,722
202001,ADM_DONG,26,부산광역시,26320,북구,26320510,구포제1동,253,332,1.31,1139,2239,901
202001,ADM_DONG,26,부산광역시,26320,북구,26320520,구포제2동,462,601,1.30,1191,3662,1019
202001,ADM_DONG,41,경기도,41220,평택시,41220340,오성면,57,67,1.18,1447,621,957
202001,ADM_DONG,41,경기도,41220,평택시,41220590,신평동,427,532,1.25,1187,3903,1136
202001,ADM_DONG,41,경기도,41220,평택시,41220259,청북읍,740,1010,1.36,1841,3799,1582
202001,ADM_DONG,41,경기도,41220,평택시,41220620,비전1동,1711,2183,1.28,1697,11487,1263
202001,ADM_DONG,41,경기도,41220,평택시,41220640,세교동,472,607,1.29,1513,3996,927
202001,ADM_DONG,41,경기도,41220,평택시,41220370,현덕면,51,66,1.29,1296,368,429
202001,ADM_DONG,41,경기도,41220,평택시,41220520,서정동,411,535,1.30,1134,4030,998
202001,ADM_DONG,41,경기도,41220,평택시,41220510,중앙동,883,1091,1.24,1521,7526,1163
202001,ADM_DONG,41,경기도,41220,평택시,41220630,비전2동,886,1213,1.37,1895,6896,1613
202001,ADM_DONG,41,경기도,41220,평택시,41220256,포승읍,456,600,1.32,1372,3152,1368
202001,ADM_DONG,41,경기도,41220,평택시,41220535,송탄동,416,537,1.29,1674,2921,1454
202001,ADM_DONG,41,경기도,41220,평택시,41220253,안중읍,704,953,1.35,1623,5645,1158
202001,ADM_DONG,41,경기도,41220,평택시,41220250,팽성읍,379,488,1.29,1271,2960,1272
202001,ADM_DONG,41,경기도,41220,평택시,41220560,송북동,359,463,1.29,1533,3025,1129
202001,ADM_DONG,41,경기도,41220,평택시,41220550,지산동,281,371,1.32,1159,2357,1075
202001,ADM_DONG,41,경기도,41220,평택시,41220570,신장1동,70,82,1.17,898,726,907
202001,ADM_DONG,41,경기도,41220,평택시,41220580,신장2동,64,80,1.25,900,706,904
202001,ADM_DONG,41,경기도,41220,평택시,41220600,원평동,184,228,1.24,1105,1663,800
202001,ADM_DONG,41,경기도,41220,평택시,41220610,통복동,53,74,1.40,769,515,794
202001,ADM_DONG,41,경기도,41220,평택시,41220320,서탄면,46,62,1.35,1421,304,1115
202001,ADM_DONG,41,경기도,41220,평택시,41220635,용이동,836,1068,1.28,1885,4784,1646
202001,ADM_DONG,41,경기도,41220,평택시,41220310,진위면,153,212,1.39,1314,1250,1317
202001,ADM_DONG,41,경기도,41220,평택시,41220330,고덕면,172,214,1.24,1415,1348,1338
202001,ADM_DONG,47,경상북도,47930,울진군,47930400,매화면,5,5,1.00,856,60,975
202001,ADM_DONG,47,경상북도,47930,울진군,47930350,기성면,10,12,1.20,362,109,83
202001,ADM_DONG,44,충청남도,44270,당진시,44270253,송악읍,737,1021,1.39,2141,4017,1657
202001,ADM_DONG,44,충청남도,44270,당진시,44270310,고대면,43,56,1.30,1274,343,1326
202001,ADM_DONG,47,경상북도,47930,울진군,47930360,온정면,8,11,1.38,652,72,1753
202001,ADM_DONG,47,경상북도,47930,울진군,47930370,죽변면,63,82,1.30,1719,588,1009
202001,ADM_DONG,44,충청남도,44270,당진시,44270320,석문면,132,162,1.23,1457,887,891
202001,ADM_DONG,41,경기도,41150,의정부시,41150530,의정부3동,241,304,1.26,746,2028,834
202001,ADM_DONG,47,경상북도,47930,울진군,47930380,후포면,35,43,1.23,1010,475,1147
202001,ADM_DONG,44,충청남도,44270,당진시,44270330,대호지면,18,20,1.11,806,95,937
202001,ADM_DONG,41,경기도,41150,의정부시,41150520,의정부2동,665,812,1.22,1031,5740,746
202001,ADM_DONG,44,충청남도,44270,당진시,44270340,정미면,20,22,1.10,843,293,704
202001,ADM_DONG,41,경기도,41150,의정부시,41150545,호원1동,749,992,1.32,1315,5560,1247
202001,ADM_DONG,44,충청남도,44270,당진시,44270350,면천면,14,14,1.00,376,175,401
202001,ADM_DONG,41,경기도,41150,의정부시,41150555,호원2동,752,966,1.28,1658,5373,1421
202001,ADM_DONG,44,충청남도,44270,당진시,44270520,당진2동,422,609,1.44,1958,2758,1279
202001,ADM_DONG,44,충청남도,44270,당진시,44270510,당진1동,559,755,1.35,1801,3627,1246
202001,ADM_DONG,41,경기도,41150,의정부시,41150573,송산1동,527,697,1.32,1088,4301,881
202001,ADM_DONG,41,경기도,41150,의정부시,41150568,신곡2동,838,1015,1.21,1274,6943,875
202001,ADM_DONG,41,경기도,41150,의정부시,41150620,녹양동,375,487,1.30,1107,3259,945
202001,ADM_DONG,41,경기도,41150,의정부시,41150595,가능동,426,524,1.23,1228,3989,911
202001,ADM_DONG,41,경기도,41150,의정부시,41150580,자금동,475,610,1.28,1200,4241,922
202001,ADM_DONG,41,경기도,41150,의정부시,41150510,의정부1동,354,402,1.14,820,3339,622
202001,ADM_DONG,41,경기도,41150,의정부시,41150615,흥선동,294,354,1.20,864,2999,792
202001,ADM_DONG,44,충청남도,44270,당진시,44270360,순성면,29,34,1.17,774,279,610
202001,ADM_DONG,44,충청남도,44270,당진시,44270370,우강면,25,26,1.04,684,304,430
202001,ADM_DONG,41,경기도,41150,의정부시,41150576,송산2동,2220,2809,1.27,1354,14338,1211
202001,ADM_DONG,44,충청남도,44270,당진시,44270380,신평면,225,314,1.40,1328,1620,1033
202001,ADM_DONG,44,충청남도,44270,당진시,44270390,송산면,326,441,1.35,2301,1515,2079
202001,ADM_DONG,41,경기도,41150,의정부시,41150561,장암동,434,561,1.29,1433,2803,882
202001,ADM_DONG,41,경기도,41150,의정부시,41150567,신곡1동,862,1093,1.27,1410,6697,1157
202001,ADM_DONG,44,충청남도,44270,당진시,44270530,당진3동,350,486,1.39,2047,2517,1835
202001,ADM_DONG,44,충청남도,44270,당진시,44270250,합덕읍,51,88,1.73,1196,649,1578
