BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,CD_CNT,SINCD_CNT,CHKCD_CNT,AVG_CD_CNT,AVG_SINCD_CNT,AVG_CHKCD_CNT,TOT_USE_AMT,TOT_SP_USE_AMT,TOT_FUL_PAYMT_USE_AMT,TOT_INSTL_USE_AMT,TOT_CA_USE_AMT,TOT_SINCD_USE_AMT,TOT_CHKCD_USE_AMT,TOT_ABRD_AMT,AVG_USE_AMT,AVG_SP_USE_AMT,AVG_FUL_PAYMT_USE_AMT,AVG_INSTL_USE_AMT,AVG_CA_USE_AMT,AVG_SINCD_USE_AMT,AVG_CHKCD_USE_AMT,AVG_ABRD_AMT
202001,ADM_DONG,28,인천광역시,28177,미추홀구,28177530,숭의4동,2,30,1008,747,991,5,2,3,459795,434986,353213,81773,24808,334209,125586,12320,438,415,337,78,24,319,120,12
202001,ADM_DONG,28,인천광역시,28177,미추홀구,28177530,숭의4동,2,20,1097,573,1095,4,1,3,358420,345865,286944,58921,12555,204506,153914,6550,324,312,259,53,11,185,139,6
202001,ADM_DONG,41,경기도,41630,양주시,41630530,회천1동,2,50,1529,1293,1328,4,2,2,779189,667591,481920,185671,111598,686266,92923,3001,486,416,301,116,70,428,58,2
202001,ADM_DONG,41,경기도,41630,양주시,41630530,회천1동,2,20,1611,617,1607,4,1,3,454523,438449,381325,57123,16075,220966,233557,9652,280,270,235,35,10,136,144,6
202001,ADM_DONG,41,경기도,41630,양주시,41630530,회천1동,2,60,837,676,648,3,2,1,297189,252106,170423,81683,45083,260750,36438,640,324,275,186,89,49,284,40,1
202001,ADM_DONG,41,경기도,41630,양주시,41630530,회천1동,2,30,1110,880,1089,5,2,3,582635,549156,449206,99951,33479,458018,124617,9086,495,467,382,85,28,389,106,8
202001,ADM_DONG,41,경기도,41360,남양주시,41360262,오남읍,1,50,4203,3357,3656,4,2,2,2278739,2012840,1590497,422343,265899,1939721,339018,16599,498,439,347,92,58,424,74,4
202001,ADM_DONG,41,경기도,41360,남양주시,41360262,오남읍,1,60,2273,1777,1748,3,2,1,880794,760503,574219,186284,120291,785530,95264,4918,357,309,233,76,49,319,39,2
202001,ADM_DONG,41,경기도,41360,남양주시,41360262,오남읍,1,30,2682,2129,2617,4,2,3,1691815,1605584,1339054,266530,86231,1393378,298436,24920,597,566,472,94,30,491,105,9
202001,ADM_DONG,41,경기도,41150,의정부시,41150595,가능동,2,30,1587,1207,1572,5,2,3,834608,780249,637695,142554,54359,627526,207082,12741,502,469,384,86,33,378,125,8
202001,ADM_DONG,41,경기도,41150,의정부시,41150595,가능동,2,60,1604,1227,1262,3,2,1,449114,377770,255192,122578,71344,397131,51984,1908,250,210,142,68,40,221,29,1
202001,ADM_DONG,41,경기도,41150,의정부시,41150595,가능동,2,40,1857,1483,1777,5,2,2,1141089,1026739,802401,224339,114350,950843,190246,8462,572,515,402,112,57,477,95,4
202001,ADM_DONG,41,경기도,41150,의정부시,41150595,가능동,2,70,924,572,643,1,1,1,137780,109208,70827,38381,28572,118996,18784,808,103,82,53,29,21,89,14,1
202001,ADM_DONG,41,경기도,41150,의정부시,41150576,송산2동,2,30,6241,5538,6136,6,3,3,4199382,3937631,3175099,762533,261751,3479212,720171,71453,665,623,503,121,41,551,114,11
202001,ADM_DONG,41,경기도,41150,의정부시,41150576,송산2동,2,60,2783,2432,2249,4,2,2,1184075,1013691,710367,303324,170384,1077841,106233,6579,408,349,245,105,59,372,37,2
202001,ADM_DONG,41,경기도,41390,시흥시,41390520,신천동,2,50,3693,2978,3334,4,2,2,1638483,1419287,1036549,382739,219196,1385419,253065,7969,420,364,266,98,56,355,65,2
202001,ADM_DONG,41,경기도,41390,시흥시,41390520,신천동,2,40,2649,2115,2516,5,2,2,1379993,1231194,944926,286268,148799,1114444,265548,7222,489,436,335,101,53,395,94,3
202001,ADM_DONG,41,경기도,41360,남양주시,41360570,별내동,1,20,4376,1790,4374,4,1,3,1317028,1282235,1157420,124815,34793,686057,630971,55213,278,271,245,26,7,145,133,12
202001,ADM_DONG,41,경기도,41360,남양주시,41360570,별내동,1,50,4246,3825,3652,5,3,2,3316422,3037534,2487113,550421,278888,2968811,347612,52784,768,704,576,128,65,688,81,12
202001,ADM_DONG,41,경기도,41117,수원시영통구,41117540,매탄4동,2,60,1043,838,830,3,2,1,338188,298457,224526,73931,39731,299569,38619,3422,300,264,199,65,35,265,34,3
202001,ADM_DONG,41,경기도,41117,수원시영통구,41117540,매탄4동,2,20,2097,994,2093,4,1,3,706641,687702,593921,93780,18939,385470,321171,29016,335,326,282,44,9,183,152,14
202001,ADM_DONG,41,경기도,41117,수원시영통구,41117540,매탄4동,2,50,1947,1646,1742,4,2,2,861945,756903,580176,176727,105042,735206,126739,5651,416,365,280,85,51,355,61,3
202001,ADM_DONG,41,경기도,41210,광명시,41210632,하안2동,1,50,991,813,866,4,2,2,504823,423440,356612,66829,81383,434375,70448,3312,474,398,335,63,76,408,66,3
202001,ADM_DONG,41,경기도,41210,광명시,41210632,하안2동,1,40,1277,1122,1173,4,2,2,775752,716646,620684,95962,59106,654085,121667,11618,585,540,468,72,45,493,92,9
202001,ADM_DONG,41,경기도,41210,광명시,41210632,하안2동,1,70,347,255,214,2,1,1,52385,41745,33499,8246,10640,47334,5051,405,129,103,83,20,26,117,12,1
202001,ADM_DONG,41,경기도,41281,고양시덕양구,41281530,흥도동,1,40,3741,3484,3481,5,3,2,3151297,2939168,2498406,440761,212129,2800646,350651,91843,835,778,662,117,56,742,93,24
202001,ADM_DONG,41,경기도,41281,고양시덕양구,41281530,흥도동,1,60,1640,1406,1363,4,2,2,811934,731533,577161,154372,80401,720855,91079,9478,481,434,342,92,48,427,54,6
202001,ADM_DONG,41,경기도,41281,고양시덕양구,41281530,흥도동,1,20,2294,992,2294,4,1,3,706390,680899,618653,62247,25491,372049,334341,24470,308,296,269,27,11,162,146,11
202001,ADM_DONG,41,경기도,41281,고양시덕양구,41281530,흥도동,1,30,3182,2877,3112,5,3,3,2399848,2310031,2006291,303740,89817,1975362,424486,71027,748,720,626,95,28,616,132,22
202001,ADM_DONG,41,경기도,41281,고양시덕양구,41281530,흥도동,1,50,2422,2117,2144,4,3,2,1574452,1427550,1186202,241348,146902,1386693,187759,23581,636,577,479,98,59,560,76,10
202001,ADM_DONG,41,경기도,41281,고양시덕양구,41281530,흥도동,1,70,911,703,676,3,2,1,213237,186929,152447,34482,26308,188689,24548,784,219,192,156,35,27,194,25,1
202001,ADM_DONG,26,부산광역시,26290,남구,26290680,문현제1동,1,30,751,609,736,5,2,3,379278,354793,293968,60825,24485,298182,81096,7482,492,460,381,79,32,387,105,10
202001,ADM_DONG,26,부산광역시,26290,남구,26290680,문현제1동,1,50,1104,897,942,4,2,2,547182,466053,357431,108623,81129,478333,68848,2861,454,387,297,90,67,397,57,2
202001,ADM_DONG,26,부산광역시,26290,남구,26290680,문현제1동,1,70,494,372,291,2,1,1,81391,71893,51099,20795,9497,74767,6623,241,124,109,78,32,14,114,10,0
202001,ADM_DONG,26,부산광역시,26290,남구,26290680,문현제1동,1,20,1019,330,1018,4,1,3,238114,232961,209932,23029,5153,97814,140300,3907,233,228,206,23,5,96,138,4
202001,ADM_DONG,26,부산광역시,26290,남구,26290680,문현제1동,1,60,860,684,643,3,2,1,271471,218436,159827,58609,53036,243699,27772,1968,284,228,167,61,55,255,29,2
202001,ADM_DONG,44,충청남도,44180,보령시,44180535,대천3동,1,30,1304,1081,1268,5,2,3,830879,806893,719196,87696,23987,632581,198298,17362,620,602,537,65,18,472,148,13
202001,ADM_DONG,44,충청남도,44180,보령시,44180535,대천3동,1,70,376,271,240,2,1,1,79322,68902,50515,18387,10420,67934,11388,339,172,149,110,40,23,147,25,1
202001,ADM_DONG,44,충청남도,44180,보령시,44180535,대천3동,1,60,734,575,557,3,2,1,285389,251877,199323,52554,33512,247927,37462,1144,355,313,248,65,42,308,47,1
202001,ADM_DONG,44,충청남도,44180,보령시,44180410,주교면,1,30,349,156,346,3,1,2,135171,128818,113160,15658,6353,96793,38378,2358,330,314,276,38,15,236,94,6
202001,ADM_DONG,44,충청남도,44710,금산군,44710390,추부면,2,40,275,204,246,4,2,2,123684,113286,86434,26852,10398,100403,23281,996,414,379,289,90,35,336,78,3
202001,ADM_DONG,44,충청남도,44710,금산군,44710390,추부면,2,30,233,114,226,3,1,2,69218,65246,51308,13938,3972,45778,23440,347,253,238,187,51,14,167,86,1
202001,ADM_DONG,44,충청남도,44210,서산시,44210250,대산읍,1,60,793,614,687,3,2,1,307435,273892,228990,44902,33543,242177,65258,2674,370,330,276,54,40,291,79,3
202001,ADM_DONG,44,충청남도,44210,서산시,44210250,대산읍,1,50,1592,1341,1471,4,2,2,1012205,932381,791255,141126,79824,796766,215439,11686,618,569,483,86,49,486,132,7
202001,ADM_DONG,44,충청남도,44210,서산시,44210250,대산읍,1,20,1314,655,1311,4,1,3,515002,502013,457666,44347,12989,272099,242904,13578,389,379,346,34,10,206,184,10
202001,ADM_DONG,44,충청남도,44210,서산시,44210250,대산읍,1,30,915,774,904,4,2,3,585539,561189,495866,65324,24350,428532,157007,15168,619,593,524,69,26,453,166,16
202001,ADM_DONG,44,충청남도,44760,부여군,44760450,초촌면,1,40,97,62,92,3,1,2,57039,55011,48426,6585,2028,40452,16586,204,533,514,453,62,19,378,155,2
202001,ADM_DONG,44,충청남도,44760,부여군,44760450,초촌면,1,30,95,42,91,3,1,2,29545,28490,24599,3891,1055,18901,10644,305,266,257,222,35,10,170,96,3
202001,ADM_DONG,44,충청남도,44760,부여군,44760450,초촌면,1,70,203,79,195,2,0,1,19031,17001,14962,2039,2030,12345,6686,48,82,73,64,9,9,53,29,0
202001,ADM_DONG,31,울산광역시,31170,동구,31170530,화정동,1,30,1731,1451,1680,5,2,3,952096,895917,793931,101986,56179,742303,209793,16621,527,496,439,56,31,411,116,9
202001,ADM_DONG,31,울산광역시,31170,동구,31170530,화정동,1,70,357,261,212,2,1,1,45011,40229,31067,9163,4782,39008,6003,909,96,86,67,20,10,84,13,2
202001,ADM_DONG,31,울산광역시,31170,동구,31170530,화정동,1,50,1593,1298,1354,3,2,2,742354,661590,544210,117380,80764,619878,122477,6142,432,385,317,68,47,361,71,4
202001,ADM_DONG,31,울산광역시,31140,남구,31140595,무거동,1,60,1494,1328,1104,3,2,1,671469,615070,515727,99343,56399,567799,103670,3649,414,379,318,61,35,350,64,2
202001,ADM_DONG,47,경상북도,47250,상주시,47250350,공성면,2,50,212,152,182,3,1,1,63565,57376,42263,15113,6189,49405,14160,231,274,247,182,65,27,213,61,1
202001,ADM_DONG,27,대구광역시,27230,북구,27230735,태전2동,1,70,719,472,608,2,1,1,101054,90682,67963,22720,10372,91384,9670,340,125,112,84,28,13,113,12,0
202001,ADM_DONG,45,전라북도,45710,완주군,45710400,동상면,2,70,62,24,54,1,0,1,3570,3570,2873,697,0,2834,736,0,40,40,32,8,0,32,8,0
202001,ADM_DONG,45,전라북도,45710,완주군,45710400,동상면,2,60,58,41,44,3,1,1,14304,12284,8248,4036,2020,10973,3332,0,224,192,129,63,32,171,52,0
202001,ADM_DONG,45,전라북도,45113,전주시덕진구,45113665,여의동,1,50,1872,1654,1589,5,3,2,1300701,1187231,984391,202841,113470,1129341,171360,12885,667,609,505,104,58,579,88,7
202001,ADM_DONG,29,광주광역시,29155,남구,29155520,방림1동,1,30,314,256,310,5,2,3,193383,186166,150559,35607,7218,145448,47936,2899,597,575,465,110,22,449,148,9
202001,ADM_DONG,29,광주광역시,29155,남구,29155520,방림1동,1,50,353,251,309,4,2,2,166099,153584,116355,37229,12515,136157,29942,585,438,405,307,98,33,359,79,2
202001,ADM_DONG,29,광주광역시,29155,남구,29155520,방림1동,1,70,223,163,143,2,1,1,36254,34028,24917,9111,2226,33125,3130,448,120,113,83,30,7,110,10,1
202001,ADM_DONG,42,강원도,42110,춘천시,42110580,소양동,1,60,555,448,414,3,2,1,193949,173102,143851,29251,20847,161438,32511,2392,329,293,244,50,35,274,55,4
202001,ADM_DONG,42,강원도,42110,춘천시,42110580,소양동,1,40,827,714,776,5,2,2,624541,581809,501740,80069,42733,527088,97453,13555,725,675,582,93,50,611,113,16
202001,ADM_DONG,42,강원도,42110,춘천시,42110580,소양동,1,70,381,307,215,2,1,1,72949,65137,48808,16329,7812,65749,7200,430,160,143,107,36,17,145,16,1
202001,ADM_DONG,42,강원도,42150,강릉시,42150550,교1동,1,60,1350,1187,938,3,2,1,770466,718651,595751,122900,51815,650835,119630,8022,540,504,417,86,36,456,84,6
202001,ADM_DONG,42,강원도,42150,강릉시,42150550,교1동,1,40,2134,1893,1953,4,2,2,1668063,1553998,1337046,216952,114065,1402583,265480,23420,756,704,606,98,52,636,120,11
202001,ADM_DONG,42,강원도,42150,강릉시,42150550,교1동,1,20,2443,714,2443,4,0,3,615787,603702,553276,50427,12085,241440,374347,15408,251,246,226,21,5,98,153,6
202001,ADM_DONG,42,강원도,42150,강릉시,42150550,교1동,1,70,793,667,402,2,1,1,174232,161951,130811,31140,12281,154637,19595,256,178,165,133,32,13,158,20,0
202001,ADM_DONG,42,강원도,42150,강릉시,42150550,교1동,1,30,1355,1107,1325,5,2,3,878470,847602,733808,113794,30868,680946,197525,16869,631,608,527,82,22,489,142,12
202001,ADM_DONG,48,경상남도,48330,양산시,48330253,물금읍,2,20,7466,3538,7459,4,1,3,2399784,2325535,1971307,354227,74250,1345568,1054216,60531,320,310,263,47,10,179,141,8
202001,ADM_DONG,48,경상남도,48330,양산시,48330253,물금읍,2,50,7534,6779,6530,5,3,2,3784941,3425272,2508200,917071,359670,3352120,432822,31522,490,443,325,119,47,434,56,4
202001,ADM_DONG,48,경상남도,48330,양산시,48330253,물금읍,2,70,1441,966,999,2,1,1,234405,203146,142655,60491,31259,206185,28220,1520,125,109,76,32,17,110,15,1
202001,ADM_DONG,48,경상남도,48330,양산시,48330253,물금읍,2,60,3975,3394,3016,3,2,1,1430844,1282662,928263,354399,148183,1312181,118663,8792,338,303,219,84,35,310,28,2
202001,ADM_DONG,48,경상남도,48890,합천군,48890250,합천읍,1,60,593,484,435,3,2,1,212684,194032,141822,52209,18652,187686,24997,1916,329,300,219,81,29,290,39,3
202001,ADM_DONG,48,경상남도,48890,합천군,48890250,합천읍,1,50,872,735,717,3,2,1,477747,436071,370331,65739,41677,403634,74113,3216,513,468,398,71,45,434,80,3
202001,ADM_DONG,48,경상남도,48890,합천군,48890250,합천읍,1,40,778,666,664,4,2,2,474429,440500,364760,75741,33929,383877,90552,4356,582,540,448,93,42,471,111,5
202001,ADM_DONG,48,경상남도,48890,합천군,48890250,합천읍,1,70,475,268,349,2,1,1,93982,89612,77502,12110,4370,62380,31602,117,162,155,134,21,8,108,55,0
202001,ADM_DONG,48,경상남도,48890,합천군,48890250,합천읍,1,20,714,181,714,4,0,3,148085,146493,134744,11748,1592,50411,97674,2479,207,205,188,16,2,70,136,3
202001,ADM_DONG,48,경상남도,48860,산청군,48860310,차황면,1,50,95,70,85,3,2,2,37258,33014,27355,5659,4243,27474,9784,23,376,333,276,57,43,278,99,0
202001,ADM_DONG,48,경상남도,48860,산청군,48860310,차황면,1,70,149,70,144,2,1,1,13402,13352,12451,901,50,8182,5220,0,86,86,80,6,0,53,34,0
202001,ADM_DONG,48,경상남도,48125,창원시마산합포구,48125330,진북면,2,60,281,199,206,2,1,1,82142,69124,44247,24877,13018,72730,9412,213,251,211,135,76,40,222,29,1
202001,ADM_DONG,48,경상남도,48125,창원시마산합포구,48125330,진북면,2,30,94,57,91,3,1,2,34694,31685,24838,6847,3009,27362,7332,535,267,244,191,53,23,210,56,4
202001,ADM_DONG,43,충청북도,43770,음성군,43770340,대소면,2,30,1079,504,1066,3,1,2,323401,301126,243661,57466,22275,217538,105863,2593,266,248,200,47,18,179,87,2
202001,ADM_DONG,43,충청북도,43770,음성군,43770340,대소면,2,20,1044,281,1043,3,0,2,213007,206138,185647,20491,6869,84974,128033,2655,198,192,173,19,6,79,119,2
202001,ADM_DONG,43,충청북도,43740,영동군,43740400,심천면,2,40,74,52,64,3,2,2,29251,24840,20663,4177,4411,23096,6155,106,380,323,268,54,57,300,80,1
202001,ADM_DONG,43,충청북도,43740,영동군,43740400,심천면,2,60,187,143,132,2,1,1,29824,27361,21242,6118,2463,25695,4129,32,136,124,97,28,11,117,19,0
202001,ADM_DONG,43,충청북도,43740,영동군,43740400,심천면,2,20,71,21,71,3,0,3,14722,14702,13670,1032,20,5746,8975,115,202,201,187,14,0,79,123,2
202001,ADM_DONG,30,대전광역시,30230,대덕구,30230550,신탄진동,2,50,981,839,784,4,2,1,400666,363822,264679,99143,36844,347230,53436,1222,380,345,251,94,35,329,51,1
202001,ADM_DONG,30,대전광역시,30230,대덕구,30230550,신탄진동,2,40,750,613,685,4,2,2,363958,332632,262086,70546,31326,291847,72111,1006,454,415,327,88,39,364,90,1
202001,ADM_DONG,46,전라남도,46230,광양시,46230360,다압면,1,70,174,43,171,2,0,1,14990,12420,10964,1456,2570,8886,6104,73,83,69,61,8,14,49,34,0
202001,ADM_DONG,46,전라남도,46230,광양시,46230530,중마동,1,40,5230,4553,4936,5,2,2,4054153,3772738,3195135,577603,281415,3349269,704883,40868,753,701,593,107,52,622,131,8
202001,ADM_DONG,46,전라남도,46230,광양시,46230530,중마동,1,20,5234,1793,5230,4,1,3,1474311,1424043,1301962,122081,50268,660143,814168,33993,281,271,248,23,10,126,155,6
202001,ADM_DONG,46,전라남도,46230,광양시,46230530,중마동,1,30,4552,3906,4483,5,2,3,3101280,2967619,2562604,405015,133661,2399204,702076,48224,663,634,548,87,29,513,150,10
202001,ADM_DONG,46,전라남도,46230,광양시,46230530,중마동,1,70,480,327,364,2,1,1,93867,87215,68703,18512,6652,75953,17914,458,156,145,114,31,11,126,30,1
202001,ADM_DONG,46,전라남도,46230,광양시,46230530,중마동,1,60,1761,1488,1431,3,2,1,796570,731553,581543,150010,65017,684989,111581,7063,424,390,310,80,35,365,59,4
202001,ADM_DONG,46,전라남도,46110,목포시,46110790,옥암동,1,60,471,407,338,3,2,1,207547,194626,157304,37322,12921,184182,23365,1874,401,376,304,72,25,356,45,4
202001,ADM_DONG,46,전라남도,46110,목포시,46110790,옥암동,1,40,958,838,893,5,2,2,629188,585229,490408,94821,43959,516269,112919,5144,629,585,490,95,44,516,113,5
202001,ADM_DONG,46,전라남도,46110,목포시,46110790,옥암동,1,20,964,238,964,4,0,3,231127,224665,207539,17126,6462,88035,143091,3638,239,233,215,18,7,91,148,4
202001,ADM_DONG,46,전라남도,46110,목포시,46110790,옥암동,1,70,222,160,132,2,1,1,47400,43169,35181,7988,4231,43020,4380,40,162,148,120,27,14,147,15,0
202001,ADM_DONG,46,전라남도,46110,목포시,46110790,옥암동,1,50,917,798,792,4,2,2,630533,571856,472667,99189,58677,532461,98072,5102,650,590,487,102,60,549,101,5
