BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,CAR_SZ01_CNT,CAR_SZ02_CNT,CAR_SZ03_CNT,CAR_SZ04_CNT,CAR_SZ05_CNT,CAR_DMST_CNT,CAR_FRGN_CNT,CAR_NEW_CNT,CAR_USED_CNT,AVG_CAR_AMT,RT_LSE_OWN
202001,ADM_DONG,28,인천광역시,28110,중구,28110540,신흥동,2,60,12,3,19,16,17,61,6,44,22,1902,0.00
202001,ADM_DONG,28,인천광역시,28110,중구,28110540,신흥동,2,70,1,0,4,5,7,15,2,14,3,1972,0.00
202001,ADM_DONG,28,인천광역시,28245,계양구,28245640,작전서운동,1,20,11,3,24,29,19,79,7,29,54,2268,0.00
202001,ADM_DONG,28,인천광역시,28245,계양구,28245640,작전서운동,1,40,65,6,63,173,242,503,46,339,189,2409,0.00
202001,ADM_DONG,28,인천광역시,28245,계양구,28245640,작전서운동,1,30,50,5,98,128,108,350,39,235,135,2228,0.00
202001,ADM_DONG,28,인천광역시,28710,강화군,28710250,강화읍,1,70,13,1,16,25,31,86,0,67,18,1906,0.00
202001,ADM_DONG,28,인천광역시,28710,강화군,28710250,강화읍,1,60,28,3,43,75,90,231,8,187,51,2183,0.00
202001,ADM_DONG,28,인천광역시,28710,강화군,28710250,강화읍,1,20,7,1,16,19,10,47,6,22,31,2329,0.00
202001,ADM_DONG,28,인천광역시,28260,서구,28260690,불로대곡동,1,40,78,11,103,183,244,570,50,400,203,2248,0.00
202001,ADM_DONG,28,인천광역시,28260,서구,28260690,불로대곡동,1,20,19,4,22,40,15,96,4,35,62,1871,0.00
202001,ADM_DONG,28,인천광역시,28260,서구,28260690,불로대곡동,1,70,8,1,8,16,28,59,2,50,11,2155,0.00
202001,ADM_DONG,28,인천광역시,28260,서구,28260690,불로대곡동,1,30,45,7,73,130,79,303,31,227,88,2410,0.00
202001,ADM_DONG,28,인천광역시,28260,서구,28260542,가정1동,2,40,58,11,48,62,80,244,15,178,77,2369,0.00
202001,ADM_DONG,28,인천광역시,28260,서구,28260542,가정1동,2,20,16,1,8,9,10,39,5,23,17,2663,0.00
202001,ADM_DONG,28,인천광역시,28260,서구,28260542,가정1동,2,70,1,0,2,5,12,17,3,6,14,1988,0.00
202001,ADM_DONG,29,광주광역시,29110,동구,29110560,계림1동,2,40,3,4,3,5,12,24,3,14,12,2381,0.00
202001,ADM_DONG,29,광주광역시,29110,동구,29110560,계림1동,2,20,2,0,3,0,3,6,2,3,5,1720,0.00
202001,ADM_DONG,29,광주광역시,29140,서구,29140650,농성1동,1,30,7,1,29,68,46,137,14,82,68,2934,0.00
202001,ADM_DONG,29,광주광역시,29140,서구,29140650,농성1동,1,70,4,0,3,16,10,32,1,22,11,2522,0.00
202001,ADM_DONG,29,광주광역시,29140,서구,29140650,농성1동,1,40,7,3,19,38,62,114,15,72,52,2381,0.00
202001,ADM_DONG,29,광주광역시,29140,서구,29140650,농성1동,1,60,5,2,9,23,32,68,3,44,27,2648,0.00
202001,ADM_DONG,27,대구광역시,27200,남구,27200660,대명11동,2,30,8,0,12,14,10,38,6,27,16,2648,0.00
202001,ADM_DONG,27,대구광역시,27200,남구,27200660,대명11동,2,60,8,3,6,11,23,46,5,24,27,2032,0.00
202001,ADM_DONG,27,대구광역시,27200,남구,27200660,대명11동,2,20,2,1,6,0,1,9,1,5,5,2281,0.00
202001,ADM_DONG,50,제주특별자치도,50130,서귀포시,50130530,중앙동,2,20,3,1,2,3,1,10,0,6,3,1826,0.00
202001,ADM_DONG,50,제주특별자치도,50130,서귀포시,50130530,중앙동,2,70,0,0,2,1,2,5,0,4,1,,0.00
202001,ADM_DONG,43,충청북도,43800,단양군,43800350,적성면,1,70,0,0,0,0,3,3,0,2,1,,0.00
202001,ADM_DONG,43,충청북도,43800,단양군,43800350,적성면,1,30,1,1,2,2,2,8,0,6,2,1912,0.00
202001,ADM_DONG,43,충청북도,43800,단양군,43800350,적성면,1,50,4,0,4,4,6,17,1,12,5,2468,0.00
202001,ADM_DONG,43,충청북도,43800,단양군,43800350,적성면,1,60,5,2,6,8,16,36,1,25,11,1915,0.00
202001,ADM_DONG,43,충청북도,43150,제천시,43150605,화산동,1,20,4,0,16,19,18,53,4,21,35,1927,0.00
202001,ADM_DONG,43,충청북도,43150,제천시,43150605,화산동,1,30,37,5,57,87,114,276,24,202,89,2402,0.00
202001,ADM_DONG,43,충청북도,43150,제천시,43150605,화산동,1,70,4,1,8,15,13,40,1,28,13,1801,0.00
202001,ADM_DONG,43,충청북도,43150,제천시,43150605,화산동,1,60,13,7,20,54,55,141,8,105,42,2397,0.00
202001,ADM_DONG,43,충청북도,43111,청주시상당구,43111620,탑대성동,1,50,15,8,19,41,79,151,11,100,60,2317,0.00
202001,ADM_DONG,43,충청북도,43111,청주시상당구,43111620,탑대성동,1,40,15,3,19,57,66,148,12,103,54,2173,0.00
202001,ADM_DONG,43,충청북도,43111,청주시상당구,43111620,탑대성동,1,70,3,0,3,6,6,18,0,15,3,2318,0.00
202001,ADM_DONG,47,경상북도,47130,경주시,47130550,성건동,1,50,23,7,28,71,96,219,6,132,84,2263,0.00
202001,ADM_DONG,47,경상북도,47130,경주시,47130550,성건동,1,30,24,3,46,88,91,228,24,122,126,2047,0.00
202001,ADM_DONG,47,경상북도,47130,경주시,47130550,성건동,1,20,9,1,23,27,18,71,7,34,37,2070,0.00
202001,ADM_DONG,47,경상북도,47250,상주시,47250400,화동면,1,50,4,0,4,14,13,35,0,24,10,2452,0.00
202001,ADM_DONG,47,경상북도,47250,상주시,47250400,화동면,1,20,0,0,0,1,2,3,0,1,2,2433,0.00
202001,ADM_DONG,47,경상북도,47900,예천군,47900380,용궁면,2,50,2,2,5,4,5,18,0,9,9,3165,0.00
202001,ADM_DONG,45,전라북도,45180,정읍시,45180580,농소동,2,40,7,2,9,6,11,34,1,21,11,2086,0.00
202001,ADM_DONG,45,전라북도,45180,정읍시,45180580,농소동,2,70,0,0,0,0,0,0,0,0,0,,0.00
202001,ADM_DONG,45,전라북도,45800,부안군,45800400,하서면,2,70,0,0,0,1,3,4,0,1,3,,0.00
202001,ADM_DONG,45,전라북도,45800,부안군,45800400,하서면,2,40,1,3,0,1,3,8,0,5,3,1445,0.00
202001,ADM_DONG,44,충청남도,44230,논산시,44230400,가야곡면,2,20,0,0,0,0,0,0,0,0,0,,0.00
202001,ADM_DONG,44,충청남도,44230,논산시,44230400,가야곡면,2,70,0,0,3,3,3,9,0,4,5,2131,0.00
202001,ADM_DONG,44,충청남도,44230,논산시,44230400,가야곡면,2,50,1,1,7,2,11,19,3,16,6,1844,0.00
202001,ADM_DONG,44,충청남도,44131,천안시동남구,44131350,수신면,1,50,5,4,7,14,28,58,0,35,22,2126,0.00
202001,ADM_DONG,44,충청남도,44131,천안시동남구,44131350,수신면,1,40,0,2,1,6,18,21,6,12,15,2550,0.00
202001,ADM_DONG,44,충청남도,44131,천안시동남구,44131350,수신면,1,60,7,2,7,12,15,40,3,33,10,2196,0.00
202001,ADM_DONG,44,충청남도,44131,천안시동남구,44131350,수신면,1,70,2,0,1,3,6,11,1,9,3,1967,0.00
202001,ADM_DONG,44,충청남도,44710,금산군,44710310,금성면,1,20,1,0,4,3,1,9,0,5,4,1988,0.00
202001,ADM_DONG,44,충청남도,44710,금산군,44710310,금성면,1,40,2,1,3,12,21,38,1,29,10,2263,0.01
202001,ADM_DONG,44,충청남도,44710,금산군,44710310,금성면,1,30,1,1,4,8,4,16,2,10,8,3476,0.01
202001,ADM_DONG,44,충청남도,44710,금산군,44710310,금성면,1,60,5,0,8,11,13,36,1,27,10,2331,0.00
202001,ADM_DONG,46,전라남도,46810,강진군,46810250,강진읍,2,40,21,8,31,20,45,118,7,81,40,2068,0.00
202001,ADM_DONG,46,전라남도,46810,강진군,46810250,강진읍,2,60,7,2,9,16,17,46,5,31,20,2178,0.00
202001,ADM_DONG,46,전라남도,46810,강진군,46810250,강진읍,2,70,0,0,3,4,2,9,0,7,2,2782,0.00
202001,ADM_DONG,46,전라남도,46810,강진군,46810250,강진읍,2,20,2,1,5,2,4,12,2,7,7,2241,0.00
202001,ADM_DONG,41,경기도,41461,용인시처인구,41461360,양지면,2,20,6,2,13,7,6,30,4,15,18,2017,0.00
202001,ADM_DONG,41,경기도,41131,성남시수정구,41131520,신흥2동,2,50,10,0,14,21,32,74,3,45,31,2910,0.00
202001,ADM_DONG,41,경기도,41131,성남시수정구,41131520,신흥2동,2,60,5,1,8,9,14,34,3,26,10,2820,0.00
202001,ADM_DONG,41,경기도,41131,성남시수정구,41131520,신흥2동,2,30,10,1,12,9,7,35,4,31,7,2558,0.00
202001,ADM_DONG,41,경기도,41430,의왕시,41430510,고천동,2,60,9,2,10,21,23,57,8,49,15,2654,0.00
202001,ADM_DONG,41,경기도,41830,양평군,41830370,청운면,1,70,1,0,4,9,16,30,0,27,3,2942,0.00
202001,ADM_DONG,41,경기도,41830,양평군,41830370,청운면,1,30,6,0,3,10,7,25,1,18,8,2461,0.00
202001,ADM_DONG,41,경기도,41830,양평군,41830370,청운면,1,60,6,1,18,22,24,69,2,58,12,2423,0.00
202001,ADM_DONG,41,경기도,41117,수원시영통구,41117530,매탄3동,1,50,43,9,73,149,262,499,37,415,113,2343,0.00
202001,ADM_DONG,41,경기도,41117,수원시영통구,41117530,매탄3동,1,60,24,1,30,56,77,180,8,153,33,2131,0.00
202001,ADM_DONG,41,경기도,41117,수원시영통구,41117530,매탄3동,1,20,8,3,31,59,33,113,22,57,71,2098,0.00
202001,ADM_DONG,41,경기도,41410,군포시,41410510,군포1동,2,40,44,1,49,71,63,212,16,151,75,2048,0.00
202001,ADM_DONG,41,경기도,41410,군포시,41410510,군포1동,2,50,40,7,60,76,89,262,10,193,75,2182,0.00
202001,ADM_DONG,41,경기도,41410,군포시,41410510,군포1동,2,70,1,0,1,8,4,12,2,10,4,3768,0.00
202001,ADM_DONG,41,경기도,41463,용인시기흥구,41463550,서농동,2,70,2,0,3,2,1,7,1,6,2,1284,0.00
202001,ADM_DONG,41,경기도,41463,용인시기흥구,41463550,서농동,2,30,52,5,44,53,39,176,17,147,39,2123,0.00
202001,ADM_DONG,42,강원도,42760,평창군,42760330,대화면,1,40,8,1,10,18,48,80,5,59,22,2204,0.00
202001,ADM_DONG,42,강원도,42760,평창군,42760330,대화면,1,50,7,3,21,33,40,101,3,68,34,2142,0.00
202001,ADM_DONG,42,강원도,42110,춘천시,42110675,강남동,2,40,26,4,42,43,48,151,12,120,41,1930,0.00
202001,ADM_DONG,48,경상남도,48330,양산시,48330340,하북면,2,30,8,1,7,6,10,32,0,21,11,2324,0.00
202001,ADM_DONG,48,경상남도,48330,양산시,48330340,하북면,2,50,22,2,24,27,35,100,10,77,30,2061,0.00
202001,ADM_DONG,48,경상남도,48860,산청군,48860390,생비량면,2,60,1,0,1,1,2,5,0,3,2,,0.00
202001,ADM_DONG,48,경상남도,48250,김해시,48250550,북부동,2,50,127,21,166,196,257,726,42,581,175,2235,0.00
202001,ADM_DONG,48,경상남도,48250,김해시,48250550,북부동,2,70,8,2,4,8,8,28,2,17,13,1853,0.00
202001,ADM_DONG,48,경상남도,48250,김해시,48250550,북부동,2,30,169,20,109,126,142,517,49,395,155,2190,0.00
202001,ADM_DONG,48,경상남도,48250,김해시,48250550,북부동,2,60,33,7,51,60,83,217,17,170,63,2065,0.00
202001,ADM_DONG,48,경상남도,48250,김해시,48250550,북부동,2,20,36,9,28,20,24,109,8,74,40,1926,0.00
202001,ADM_DONG,48,경상남도,48129,창원시진해구,48129600,자은동,1,20,6,3,16,28,22,70,5,27,45,2114,0.00
202001,ADM_DONG,48,경상남도,48129,창원시진해구,48129600,자은동,1,50,63,8,42,90,114,312,5,240,71,2068,0.00
202001,ADM_DONG,48,경상남도,48129,창원시진해구,48129600,자은동,1,60,26,1,25,56,56,158,6,123,40,2399,0.00
202001,ADM_DONG,48,경상남도,48127,창원시마산회원구,48127580,합성1동,1,70,3,1,2,11,3,20,0,16,4,2165,0.00
202001,ADM_DONG,48,경상남도,48127,창원시마산회원구,48127580,합성1동,1,40,22,2,19,42,54,132,7,86,49,2172,0.00
202001,ADM_DONG,48,경상남도,48127,창원시마산회원구,48127580,합성1동,1,30,18,4,44,57,44,155,12,98,56,2293,0.00
202001,ADM_DONG,48,경상남도,48127,창원시마산회원구,48127580,합성1동,1,60,6,1,16,28,28,76,3,54,24,1885,0.00
202001,ADM_DONG,48,경상남도,48125,창원시마산합포구,48125310,구산면,2,40,1,0,4,2,3,10,0,8,2,2427,0.00
202001,ADM_DONG,48,경상남도,48125,창원시마산합포구,48125310,구산면,2,30,2,1,1,7,2,11,2,6,6,2667,0.00
202001,ADM_DONG,48,경상남도,48125,창원시마산합포구,48125310,구산면,2,60,4,2,5,8,4,23,0,17,5,1805,0.00
202001,ADM_DONG,48,경상남도,48820,고성군,48820410,마암면,1,20,0,0,0,1,2,3,0,1,2,2300,0.00
