BS_YR_MON,CUR_CT_PRVNC_CD,CUR_CT_PRVNC_NM,CUR_CT_CNTY_GU_CD,CUR_CT_CNTY_GU_NM,CUR_ADM_DONG_CD,CUR_ADM_DONG_NM,COM_CT_PRVNC_CD,COM_CT_PRVNC_NM,COM_CT_CNTY_GU_CD,COM_CT_CNTY_GU_NM,COM_ADM_DONG_CD,COM_ADM_DONG_NM,COM_CTNCD,COM_ADMCD,GENDER,AGE_BIN,POP_CNT,SAL_CNT,RUN_CNT,AVG_MON_INCOME,MED_MON_INCOME,AVG_MON_CARDSPND,ECON_CNT
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26230,부산진구,26230520,부전제2동,26230,26230520,2,20,15,11,0,2005,1916,1666,15
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26290,남구,26290610,용당동,26290,26290610,2,20,5,4,0,2318,2083,1674,5
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26350,해운대구,26350530,중제1동,26350,26350530,2,30,11,10,0,2719,2666,1643,11
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26350,해운대구,26350510,우제1동,26350,26350510,2,30,4,2,1,2771,2751,2015,4
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26500,수영구,26500790,광안제4동,26500,26500790,2,40,4,1,0,2812,2792,1333,4
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26200,영도구,26200640,청학제2동,26200,26200640,1,30,5,5,0,3850,3500,1564,5
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26290,남구,26290645,우암동,26290,26290645,1,60,13,8,2,2602,2333,1419,12
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26230,부산진구,26230770,범천제1동,26230,26230770,2,60,13,7,1,1846,1833,548,9
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26230,부산진구,26230770,범천제1동,26230,26230770,2,30,14,10,2,2720,2624,1884,14
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26290,남구,26290590,용호제3동,26290,26290590,2,30,5,2,0,2693,2500,2131,5
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26170,동구,26170530,초량제3동,26170,26170530,2,30,11,9,1,2842,2890,2039,11
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26500,수영구,26500760,광안제1동,26500,26500760,2,60,4,2,0,2083,2000,471,3
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26290,남구,26290560,대연제6동,26290,26290560,1,50,9,5,0,4131,4618,1713,8
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26530,사상구,26530620,괘법동,26530,26530620,2,60,4,2,2,2250,2416,1336,3
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26290,남구,26290620,감만제1동,26290,26290620,2,60,17,9,2,1832,1583,563,10
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26290,남구,26290630,감만제2동,26290,26290630,1,50,9,1,2,2713,2750,1227,5
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26200,영도구,26200650,동삼제1동,26200,26200650,2,40,10,7,1,2982,2792,2133,10
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26440,강서구,26440560,녹산동,26440,26440560,1,60,10,6,2,4466,2458,1712,10
202001,26,부산광역시,26290,남구,26290540,대연제4동,26,부산광역시,26170,동구,26170660,범일제2동,26170,26170660,2,60,19,12,3,2127,1916,1589,16
202001,45,전라북도,45770,순창군,45770250,순창읍,45,전라북도,45770,순창군,45770380,적성면,45770,45770380,1,40,7,4,0,5875,5154,4388,7
202001,45,전라북도,45770,순창군,45770250,순창읍,45,전라북도,45770,순창군,45770400,구림면,45770,45770400,2,30,9,6,1,2468,2500,1481,9
202001,48,경상남도,48250,김해시,48250340,한림면,45,전라북도,45130,군산시,45130710,소룡동,45130,45130710,1,30,5,5,0,2866,2833,450,1
202001,45,전라북도,45770,순창군,45770250,순창읍,45,전라북도,45770,순창군,45770390,유등면,45770,45770390,1,40,18,14,2,4376,4442,2235,16
202001,45,전라북도,45210,김제시,45210330,백산면,45,전라북도,45210,김제시,45210510,요촌동,45210,45210510,2,30,5,2,0,5905,2083,636,4
202001,29,광주광역시,29170,북구,29170570,임동,29,광주광역시,29170,북구,29170673,매곡동,29170,29170673,2,30,4,2,1,2958,2874,1825,4
202001,29,광주광역시,29170,북구,29170570,임동,29,광주광역시,29200,광산구,29200670,평동,29200,29200670,2,50,5,3,1,2933,2333,1534,5
202001,29,광주광역시,29170,북구,29170570,임동,29,광주광역시,29140,서구,29140780,화정3동,29140,29140780,2,40,4,3,1,2567,2788,2075,4
202001,29,광주광역시,29170,북구,29170570,임동,29,광주광역시,29110,동구,29110525,충장동,29110,29110525,2,70,16,7,1,1708,1750,464,10
202001,29,광주광역시,29170,북구,29170570,임동,29,광주광역시,29140,서구,29140752,상무2동,29140,29140752,1,40,4,1,2,9101,4284,4643,4
202001,29,광주광역시,29170,북구,29170570,임동,29,광주광역시,29170,북구,29170590,용봉동,29170,29170590,2,40,15,10,3,2891,2666,2528,15
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11620,관악구,11620595,청룡동,11620,11620595,1,70,5,4,1,2433,2250,786,4
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11650,서초구,11650590,방배본동,11650,11650590,1,40,5,2,1,4083,3750,1885,5
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11590,동작구,11590660,대방동,11590,11590660,2,70,8,5,0,2073,2125,756,8
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11230,동대문구,11230710,회기동,11230,11230710,1,70,50,14,25,3439,2542,936,39
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11650,서초구,11650570,반포2동,11650,11650570,1,50,4,3,1,4854,4666,2040,4
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11140,중구,11140605,을지로동,11140,11140605,2,40,5,2,0,3133,2500,951,3
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11140,중구,11140540,회현동,11140,11140540,2,60,4,3,1,2458,2208,1012,3
202001,41,경기도,41450,하남시,41450540,덕풍1동,11,서울특별시,11740,강동구,11740685,길동,11740,11740685,2,20,11,8,0,2364,2437,1170,11
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11590,동작구,11590650,사당제4동,11590,11590650,2,30,5,4,0,2770,2517,1664,5
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11680,강남구,11680610,대치2동,11680,11680610,2,20,5,5,0,2413,2250,2701,4
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11680,강남구,11680630,대치4동,11680,11680630,2,50,11,5,2,3008,2583,2265,11
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11530,구로구,11530540,구로제3동,11530,11530540,1,20,4,1,0,1949,1940,1299,4
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11530,구로구,11530540,구로제3동,11530,11530540,2,60,7,3,1,2833,2083,1645,7
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11620,관악구,11620605,은천동,11620,11620605,2,60,11,4,1,2575,2250,1627,10
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11230,동대문구,11230545,제기동,11230,11230545,2,20,6,1,0,1778,1750,663,3
202001,41,경기도,41450,하남시,41450540,덕풍1동,11,서울특별시,11710,송파구,11710710,잠실6동,11710,11710710,2,20,11,7,0,2179,2166,2032,10
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11200,성동구,11200690,성수2가제3동,11200,11200690,2,20,8,6,0,2255,2308,1669,8
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,11110,11110615,2,40,12,8,1,3286,3010,1158,12
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11560,영등포구,11560515,영등포본동,11560,11560515,2,60,4,1,0,1896,1833,1076,3
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11590,동작구,11590510,노량진제1동,11590,11590510,2,20,21,12,0,1903,1833,1149,21
202001,41,경기도,41450,하남시,41450540,덕풍1동,11,서울특별시,11680,강남구,11680531,논현2동,11680,11680531,1,30,14,10,1,3888,3910,2205,13
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11560,영등포구,11560680,신길제6동,11560,11560680,2,50,10,6,2,4216,2792,1946,10
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11110,종로구,11110630,종로5.6가동,11110,11110630,1,30,7,6,1,3163,2833,1055,7
202001,41,경기도,41450,하남시,41450540,덕풍1동,11,서울특별시,11230,동대문구,11230650,장안제1동,11230,11230650,1,30,4,2,0,2875,3083,2591,4
202001,41,경기도,41450,하남시,41450540,덕풍1동,11,서울특별시,11680,강남구,11680590,삼성2동,11680,11680590,2,40,4,3,0,3521,3374,2511,4
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11680,강남구,11680590,삼성2동,11680,11680590,1,40,8,5,2,5005,4500,3276,8
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11530,구로구,11530560,구로제5동,11530,11530560,1,30,4,2,0,2875,2833,1389,3
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11710,송파구,11710670,잠실2동,11710,11710670,1,30,4,4,0,2860,2791,1800,4
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11230,동대문구,11230740,이문제1동,11230,11230740,1,40,19,12,4,5146,5065,2176,17
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11500,강서구,11500620,공항동,11500,11500620,2,30,4,3,1,3333,3458,1541,4
202001,41,경기도,41450,하남시,41450540,덕풍1동,11,서울특별시,11740,강동구,11740640,성내제1동,11740,11740640,1,30,6,5,0,3178,3083,2114,6
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11230,동대문구,11230720,휘경제1동,11230,11230720,1,40,8,1,4,3918,2791,1515,6
202001,11,서울특별시,11230,동대문구,11230710,회기동,11,서울특별시,11230,동대문구,11230720,휘경제1동,11230,11230720,1,20,12,3,1,2004,1833,901,9
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11680,강남구,11680640,역삼1동,11680,11680640,1,40,54,41,5,5679,5000,2600,51
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11140,중구,11140520,소공동,11140,11140520,1,30,28,26,0,4792,4188,2384,26
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11650,서초구,11650520,서초2동,11650,11650520,1,30,20,18,2,7272,3833,2211,19
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11650,서초구,11650610,방배2동,11650,11650610,1,50,8,6,2,3935,3500,2639,8
202001,11,서울특별시,11590,동작구,11590540,상도제2동,11,서울특별시,11170,용산구,11170690,서빙고동,11170,11170690,2,30,7,5,0,3269,3083,3292,7
202001,11,서울특별시,11590,동작구,11590540,상도제2동,41,경기도,41190,부천시,41190830,오정동,41190,41190830,1,30,5,3,0,3768,3130,3205,5
202001,41,경기도,41450,하남시,41450540,덕풍1동,41,경기도,41450,하남시,41450550,덕풍2동,41450,41450550,1,30,10,5,1,2716,2416,827,8
202001,41,경기도,41450,하남시,41450540,덕풍1동,41,경기도,41450,하남시,41450570,풍산동,41450,41450570,2,50,23,9,4,2579,2583,1967,21
202001,41,경기도,41590,화성시,41590340,송산면,41,경기도,41590,화성시,41590253,봉담읍,41590,41590253,1,40,5,2,2,4008,3333,3201,5
202001,41,경기도,41590,화성시,41590340,송산면,41,경기도,41590,화성시,41590262,남양읍,41590,41590262,1,40,37,20,6,3749,3583,1818,36
202001,11,서울특별시,11590,동작구,11590540,상도제2동,41,경기도,41590,화성시,41590262,남양읍,41590,41590262,1,50,5,3,1,4300,4416,1987,5
202001,41,경기도,41590,화성시,41590340,송산면,41,경기도,41590,화성시,41590340,송산면,41590,41590340,1,70,85,18,47,2715,2416,772,74
202001,41,경기도,41590,화성시,41590340,송산면,41,경기도,41590,화성시,41590340,송산면,41590,41590340,1,30,232,161,28,3155,2833,995,180
202001,41,경기도,41450,하남시,41450540,덕풍1동,41,경기도,41135,성남시분당구,41135655,삼평동,41135,41135655,1,30,9,8,0,3893,4050,3511,9
202001,41,경기도,41450,하남시,41450540,덕풍1동,41,경기도,41450,하남시,41450600,초이동,41450,41450600,1,50,29,13,12,3616,3388,2002,26
202001,48,경상남도,48250,김해시,48250340,한림면,41,경기도,41390,시흥시,41390591,정왕1동,41390,41390591,1,30,4,4,0,2708,2666,0,0
202001,41,경기도,41450,하남시,41450540,덕풍1동,41,경기도,41450,하남시,41450590,춘궁동,41450,41450590,2,50,64,32,12,2556,2416,1364,62
202001,41,경기도,41450,하남시,41450540,덕풍1동,41,경기도,41610,광주시,41610520,송정동,41610,41610520,2,40,5,2,0,2661,2750,2161,5
202001,41,경기도,41450,하남시,41450540,덕풍1동,41,경기도,41450,하남시,41450530,신장2동,41450,41450530,2,60,49,13,11,2041,2000,1056,46
202001,11,서울특별시,11590,동작구,11590540,상도제2동,41,경기도,41285,고양시일산동구,41285580,장항1동,41285,41285580,2,50,4,3,0,2447,2542,1739,3
202001,41,경기도,41450,하남시,41450540,덕풍1동,41,경기도,41450,하남시,41450580,감북동,41450,41450580,1,20,6,4,0,2505,2458,1554,6
202001,44,충청남도,44180,보령시,44180390,미산면,44,충청남도,44180,보령시,44180535,대천3동,44180,44180535,1,40,7,6,1,3363,3250,1943,7
202001,44,충청남도,44180,보령시,44180390,미산면,44,충청남도,44180,보령시,44180250,웅천읍,44180,44180250,1,60,4,3,1,3854,3833,6088,4
202001,48,경상남도,48250,김해시,48250340,한림면,48,경상남도,48250,김해시,48250330,진례면,48250,48250330,2,30,7,7,0,2417,2416,1095,7
202001,48,경상남도,48250,김해시,48250340,한림면,48,경상남도,48250,김해시,48250530,부원동,48250,48250530,2,60,7,1,4,2404,1916,1294,5
202001,48,경상남도,48250,김해시,48250340,한림면,48,경상남도,48250,김해시,48250580,활천동,48250,48250580,1,60,9,5,3,2866,3083,1465,8
202001,48,경상남도,48250,김해시,48250340,한림면,48,경상남도,48250,김해시,48250340,한림면,48250,48250340,2,40,71,47,16,2635,2333,1681,62
202001,48,경상남도,48250,김해시,48250340,한림면,48,경상남도,48250,김해시,48250360,상동면,48250,48250360,1,50,16,9,6,3365,3291,1020,13
202001,48,경상남도,48250,김해시,48250340,한림면,48,경상남도,48250,김해시,48250320,주촌면,48250,48250320,2,20,4,3,1,2081,2078,1722,4
202001,46,전라남도,46840,무안군,46840330,청계면,46,전라남도,46830,영암군,46830253,삼호읍,46830,46830253,2,50,6,3,2,2514,2250,1498,6
202001,46,전라남도,46840,무안군,46840330,청계면,46,전라남도,46830,영암군,46830253,삼호읍,46830,46830253,1,20,7,5,0,2398,2083,1087,7
202001,46,전라남도,46840,무안군,46840330,청계면,46,전라남도,46840,무안군,46840330,청계면,46840,46840330,2,20,37,27,1,1907,1833,969,36
